device,sessions,viewed_mono,cart_mono,checkout_mono,purchase_mono,viewed_strict,cart_strict,checkout_strict,purchase_strict
,879171,130006,52282,22031,11398,121921,43697,17042,9078
desktop,640959,98774,42079,18979,10376,92520,35408,14843,8302
mobile,207922,27366,8884,2669,854,25768,7215,1920,653
tablet,30290,3866,1319,383,168,3633,1074,279,123
