device,sessions_with_hits,no_view_event,pct_no_view,purchase_sessions,buyers_no_view,pct_buyers_no_view
,879171,757250,86.13,11398,2097,18.4
desktop,640959,548439,85.57,10376,1881,18.13
mobile,207922,182154,87.61,854,177,20.73
tablet,30290,26657,88.01,168,39,23.21
