grp,visitors,sessions,purchases,sessions_per_visitor,buyers,buyers_3plus,pct_purchases_from_3plus
решта,667852,810311,6262,1.21,5514,126,9.5
бакет,38336,68860,5136,1.8,4439,115,8.1
